State,X-distance,Y-distance,Cost,Pos_x,Pos_y,Orientation,Goal_x,Goal_y,R1,R2,R3,R4,R5,R6,R7,R8,G1,G2,G3,G4,G5,G6,G7,G8
RIGHT,465,503,2581,25,47,DOWN,490,550,3,8,9,8,1,6,6,2,8,2,9,4,4,7,9,8
FORWARD,465,503,2580,25,47,RIGHT,490,550,3,8,9,8,1,6,6,2,8,2,9,4,4,7,9,8
FORWARD,465,503,2579,26,47,RIGHT,490,550,8,9,7,1,1,6,2,8,8,2,9,4,4,7,9,8
FORWARD,465,503,2578,27,47,RIGHT,490,550,9,7,8,1,2,2,8,2,8,2,9,4,4,7,9,8
FORWARD,465,503,2576,28,47,RIGHT,490,550,7,8,7,1,1,8,2,3,8,2,9,4,4,7,9,8
RIGHT,465,503,2575,29,47,RIGHT,490,550,8,7,2,2,5,2,3,2,8,2,9,4,4,7,9,8
BASH,465,503,2574,29,47,UP,490,550,8,7,2,2,5,2,3,2,8,2,9,4,4,7,9,8
BASH,465,503,2570,29,49,UP,490,550,2,3,2,1,5,4,3,8,8,2,9,4,4,7,9,8
LEFT,465,503,2563,29,51,UP,490,550,4,3,8,1,2,4,3,6,8,2,9,4,4,7,9,8
FORWARD,465,503,2561,29,51,RIGHT,490,550,4,3,8,1,2,4,3,6,8,2,9,4,4,7,9,8
FORWARD,465,503,2559,30,51,RIGHT,490,550,3,8,4,4,1,3,6,3,8,2,9,4,4,7,9,8
FORWARD,465,503,2558,31,51,RIGHT,490,550,8,4,9,2,2,6,3,9,8,2,9,4,4,7,9,8
RIGHT,465,503,2556,32,51,RIGHT,490,550,4,9,2,1,1,3,9,4,8,2,9,4,4,7,9,8
BASH,465,503,2555,32,51,UP,490,550,4,9,2,1,1,3,9,4,8,2,9,4,4,7,9,8
FORWARD,465,503,2551,32,53,UP,490,550,3,9,4,9,6,3,2,5,8,2,9,4,4,7,9,8
FORWARD,465,503,2549,32,54,UP,490,550,9,1,6,3,5,6,4,7,8,2,9,4,4,7,9,8
BASH,465,503,2545,32,55,UP,490,550,3,2,5,6,7,5,4,6,8,2,9,4,4,7,9,8
BASH,465,503,2537,32,57,UP,490,550,5,4,6,4,8,9,5,5,8,2,9,4,4,7,9,8
LEFT,465,503,2531,32,59,UP,490,550,9,5,5,2,1,6,6,3,8,2,9,4,4,7,9,8
FORWARD,465,503,2529,32,59,RIGHT,490,550,9,5,5,2,1,6,6,3,8,2,9,4,4,7,9,8
BASH,465,503,2528,33,59,RIGHT,490,550,5,5,3,3,3,6,3,4,8,2,9,4,4,7,9,8
BASH,465,503,2524,35,59,RIGHT,490,550,3,7,2,3,5,4,8,3,8,2,9,4,4,7,9,8
BASH,465,503,2518,37,59,RIGHT,490,550,2,1,3,5,6,3,4,8,8,2,9,4,4,7,9,8
FORWARD,465,503,2511,39,59,RIGHT,490,550,3,7,8,6,2,8,2,2,8,2,9,4,4,7,9,8
RIGHT,465,503,2509,40,59,RIGHT,490,550,7,8,2,4,4,2,2,6,8,2,9,4,4,7,9,8
FORWARD,465,503,2508,40,59,UP,490,550,7,8,2,4,4,2,2,6,8,2,9,4,4,7,9,8
LEFT,465,503,2506,40,60,UP,490,550,4,2,4,2,6,2,6,6,8,2,9,4,4,7,9,8
BASH,465,503,2505,40,60,RIGHT,490,550,4,2,4,2,6,2,6,6,8,2,9,4,4,7,9,8
BASH,465,503,2500,42,60,RIGHT,490,550,4,5,6,6,9,6,8,4,8,2,9,4,4,7,9,8
BASH,465,503,2496,44,60,RIGHT,490,550,6,3,1,9,3,4,3,4,8,2,9,4,4,7,9,8
FORWARD,465,503,2491,46,60,RIGHT,490,550,1,4,3,3,1,4,2,3,8,2,9,4,4,7,9,8
RIGHT,465,503,2490,47,60,RIGHT,490,550,4,3,4,2,8,2,3,9,8,2,9,4,4,7,9,8
BASH,465,503,2489,47,60,UP,490,550,4,3,4,2,8,2,3,9,8,2,9,4,4,7,9,8
BASH,465,503,2481,47,62,UP,490,550,2,3,9,3,2,5,5,1,8,2,9,4,4,7,9,8
FORWARD,465,503,2477,47,64,UP,490,550,5,5,1,7,8,3,1,2,8,2,9,4,4,7,9,8
LEFT,465,503,2476,47,65,UP,490,550,7,1,8,3,2,3,9,4,8,2,9,4,4,7,9,8
FORWARD,465,503,2475,47,65,RIGHT,490,550,7,1,8,3,2,3,9,4,8,2,9,4,4,7,9,8
BASH,465,503,2473,48,65,RIGHT,490,550,1,8,6,1,8,9,4,6,8,2,9,4,4,7,9,8
BASH,465,503,2469,50,65,RIGHT,490,550,6,5,2,8,9,6,6,2,8,2,9,4,4,7,9,8
FORWARD,465,503,2464,52,65,RIGHT,490,550,2,9,7,9,6,2,4,3,8,2,9,4,4,7,9,8
BASH,465,503,2458,53,65,RIGHT,490,550,9,7,8,2,8,4,3,8,8,2,9,4,4,7,9,8
RIGHT,465,503,2452,55,65,RIGHT,490,550,8,3,6,8,8,8,5,3,8,2,9,4,4,7,9,8
